"","Gemeinde","Zulassungsjahr","Postleitzahl","Laengengrad","Breitengrad","Anzahl_betroffen_Jahr"
"1","AACH","2010","54298",6.590527,49.789601,1
"2","AACH","2011","54298",6.590527,49.789601,1
"3","AACH","2013","54298",6.590527,49.789601,1
"4","AACH","2014","54298",6.590527,49.789601,1
"5","AACH","2015","54298",6.590527,49.789601,4
"6","AACH","2016","54298",6.590527,49.789601,1
"7","AACH1","2010","78267",8.851043,47.8428,1
"8","AACH1","2014","78267",8.851043,47.8428,2
"9","AACH1","2016","78267",8.851043,47.8428,1
"10","AACHEN","2009","52062",6.0848,50.773516,197
"11","AACHEN","2010","52062",6.0848,50.773516,149
"12","AACHEN","2011","52062",6.0848,50.773516,182
"13","AACHEN","2012","52062",6.0848,50.773516,134
"14","AACHEN","2013","52062",6.0848,50.773516,112
"15","AACHEN","2014","52062",6.0848,50.773516,147
"16","AACHEN","2015","52062",6.0848,50.773516,195
"17","AACHEN","2016","52062",6.0848,50.773516,202
"18","AARBERGEN","2009","65326",8.076766,50.24602,3
"19","AARBERGEN","2010","65326",8.076766,50.24602,9
"20","AARBERGEN","2011","65326",8.076766,50.24602,2
"21","AARBERGEN","2012","65326",8.076766,50.24602,7
"22","AARBERGEN","2013","65326",8.076766,50.24602,8
"23","AARBERGEN","2014","65326",8.076766,50.24602,7
"24","AARBERGEN","2015","65326",8.076766,50.24602,7
"25","AARBERGEN","2016","65326",8.076766,50.24602,5
"26","ABTSGMUEND","2009","73453",10.002231,48.894913,5
"27","ABTSGMUEND","2010","73453",10.002231,48.894913,3
"28","ABTSGMUEND","2011","73453",10.002231,48.894913,2
"29","ABTSGMUEND","2012","73453",10.002231,48.894913,7
"30","ABTSGMUEND","2013","73453",10.002231,48.894913,6
"31","ABTSGMUEND","2014","73453",10.002231,48.894913,8
"32","ABTSGMUEND","2015","73453",10.002231,48.894913,2
"33","ABTSGMUEND","2016","73453",10.002231,48.894913,8
"34","ACHBERG","2010","88147",9.713856,47.615122,1
"35","ACHBERG","2012","88147",9.713856,47.615122,2
"36","ACHBERG","2014","88147",9.713856,47.615122,1
"37","ACHBERG","2015","88147",9.713856,47.615122,2
"38","ACHBERG","2016","88147",9.713856,47.615122,2
"39","ACHSTETTEN","2009","88480",9.898085,48.258983,4
"40","ACHSTETTEN","2010","88480",9.898085,48.258983,2
"41","ACHSTETTEN","2011","88480",9.898085,48.258983,2
"42","ACHSTETTEN","2012","88480",9.898085,48.258983,5
"43","ACHSTETTEN","2013","88480",9.898085,48.258983,5
"44","ACHSTETTEN","2014","88480",9.898085,48.258983,1
"45","ACHSTETTEN","2015","88480",9.898085,48.258983,6
"46","ACHSTETTEN","2016","88480",9.898085,48.258983,5
"47","ADELHEIDSDORF","2009","29352",10.059931,52.565363,4
"48","ADELHEIDSDORF","2010","29352",10.059931,52.565363,1
"49","ADELHEIDSDORF","2011","29352",10.059931,52.565363,2
"50","ADELHEIDSDORF","2012","29352",10.059931,52.565363,4
"51","ADELHEIDSDORF","2013","29352",10.059931,52.565363,2
"52","ADELHEIDSDORF","2014","29352",10.059931,52.565363,2
"53","ADELHEIDSDORF","2015","29352",10.059931,52.565363,3
"54","ADELHEIDSDORF","2016","29352",10.059931,52.565363,2
"55","ADELMANNSFELDEN","2009","73486",10.003628,48.954324,1
"56","ADELMANNSFELDEN","2010","73486",10.003628,48.954324,3
"57","ADELMANNSFELDEN","2011","73486",10.003628,48.954324,1
"58","ADELMANNSFELDEN","2013","73486",10.003628,48.954324,1
"59","ADELMANNSFELDEN","2016","73486",10.003628,48.954324,2
"60","ADELSHOFEN","2009","82276",11.116705,48.18313,3
"61","ADELSHOFEN","2010","82276",11.116705,48.18313,3
"62","ADELSHOFEN","2012","82276",11.116705,48.18313,1
"63","ADELSHOFEN","2013","82276",11.116705,48.18313,2
"64","ADELSHOFEN","2016","82276",11.116705,48.18313,1
"65","ADELSHOFEN1","2009","91587",10.175,49.439981,2
"66","ADELSHOFEN1","2010","91587",10.175,49.439981,2
"67","ADELSHOFEN1","2011","91587",10.175,49.439981,3
"68","ADELSHOFEN1","2013","91587",10.175,49.439981,1
"69","ADELSHOFEN1","2015","91587",10.175,49.439981,2
"70","ADELSHOFEN1","2016","91587",10.175,49.439981,5
"71","ADELSRIED","2009","86477",10.719444,48.425522,1
"72","ADELSRIED","2011","86477",10.719444,48.425522,2
"73","ADELSRIED","2013","86477",10.719444,48.425522,1
"74","ADELSRIED","2014","86477",10.719444,48.425522,1
"75","ADELSRIED","2015","86477",10.719444,48.425522,1
"76","ADELSRIED","2016","86477",10.719444,48.425522,1
"77","ADELZHAUSEN","2009","86559",11.137667,48.35707,2
"78","ADELZHAUSEN","2010","86559",11.137667,48.35707,1
"79","ADELZHAUSEN","2012","86559",11.137667,48.35707,4
"80","ADELZHAUSEN","2015","86559",11.137667,48.35707,1
"81","ADELZHAUSEN","2016","86559",11.137667,48.35707,1
"82","ADENBUETTEL","2011","38528",10.450974,52.379328,2
"83","ADENBUETTEL","2014","38528",10.450974,52.379328,1
"84","ADENBUETTEL","2015","38528",10.450974,52.379328,2
"85","ADENDORF","2009","21365",10.443754,53.287818,9
"86","ADENDORF","2010","21365",10.443754,53.287818,7
"87","ADENDORF","2011","21365",10.443754,53.287818,13
"88","ADENDORF","2012","21365",10.443754,53.287818,8
"89","ADENDORF","2013","21365",10.443754,53.287818,15
"90","ADENDORF","2014","21365",10.443754,53.287818,10
"91","ADENDORF","2015","21365",10.443754,53.287818,3
"92","ADENDORF","2016","21365",10.443754,53.287818,11
"93","ADLKOFEN","2009","84166",12.263172,48.546186,3
"94","ADLKOFEN","2010","84166",12.263172,48.546186,5
"95","ADLKOFEN","2011","84166",12.263172,48.546186,3
"96","ADLKOFEN","2012","84166",12.263172,48.546186,3
"97","ADLKOFEN","2013","84166",12.263172,48.546186,1
"98","ADLKOFEN","2014","84166",12.263172,48.546186,5
"99","ADLKOFEN","2015","84166",12.263172,48.546186,2
"100","ADLKOFEN","2016","84166",12.263172,48.546186,9
"101","ADMANNSHAGEN BARGESHAGEN","2010","18211",11.984106,54.111554,1
"102","ADMANNSHAGEN BARGESHAGEN","2012","18211",11.984106,54.111554,3
"103","ADMANNSHAGEN BARGESHAGEN","2013","18211",11.984106,54.111554,4
"104","ADMANNSHAGEN BARGESHAGEN","2014","18211",11.984106,54.111554,6
"105","ADMANNSHAGEN BARGESHAGEN","2015","18211",11.984106,54.111554,1
"106","ADMANNSHAGEN BARGESHAGEN","2016","18211",11.984106,54.111554,2
"107","ADORF/VOGTL.","2009","08626",12.256069,50.320622,2
"108","ADORF/VOGTL.","2010","08626",12.256069,50.320622,4
"109","ADORF/VOGTL.","2011","08626",12.256069,50.320622,5
"110","ADORF/VOGTL.","2012","08626",12.256069,50.320622,9
"111","ADORF/VOGTL.","2013","08626",12.256069,50.320622,5
"112","ADORF/VOGTL.","2014","08626",12.256069,50.320622,9
"113","ADORF/VOGTL.","2015","08626",12.256069,50.320622,4
"114","ADORF/VOGTL.","2016","08626",12.256069,50.320622,6
"115","AFFING","2009","86444",10.981809,48.457486,8
"116","AFFING","2010","86444",10.981809,48.457486,4
"117","AFFING","2011","86444",10.981809,48.457486,5
"118","AFFING","2012","86444",10.981809,48.457486,3
"119","AFFING","2013","86444",10.981809,48.457486,6
"120","AFFING","2014","86444",10.981809,48.457486,3
"121","AFFING","2015","86444",10.981809,48.457486,4
"122","AFFING","2016","86444",10.981809,48.457486,8
"123","AFFINGHAUSEN","2009","27257",8.87991,52.782963,1
"124","AFFINGHAUSEN","2011","27257",8.87991,52.782963,2
"125","AFFINGHAUSEN","2016","27257",8.87991,52.782963,1
"126","AGATHENBURG","2009","21684",9.528825,53.562845,1
"127","AGATHENBURG","2011","21684",9.528825,53.562845,1
"128","AGATHENBURG","2012","21684",9.528825,53.562845,3
"129","AGATHENBURG","2014","21684",9.528825,53.562845,1
"130","AGATHENBURG","2015","21684",9.528825,53.562845,2
"131","AGATHENBURG","2016","21684",9.528825,53.562845,3
"132","AGLASTERHAUSEN","2009","74858",8.989348,49.35493,2
"133","AGLASTERHAUSEN","2010","74858",8.989348,49.35493,8
"134","AGLASTERHAUSEN","2011","74858",8.989348,49.35493,4
"135","AGLASTERHAUSEN","2012","74858",8.989348,49.35493,6
"136","AGLASTERHAUSEN","2013","74858",8.989348,49.35493,8
"137","AGLASTERHAUSEN","2014","74858",8.989348,49.35493,4
"138","AGLASTERHAUSEN","2015","74858",8.989348,49.35493,7
"139","AGLASTERHAUSEN","2016","74858",8.989348,49.35493,9
"140","AHAM","2009","84168",12.463722,48.527357,1
"141","AHAM","2010","84168",12.463722,48.527357,1
"142","AHAM","2011","84168",12.463722,48.527357,4
"143","AHAM","2012","84168",12.463722,48.527357,2
"144","AHAM","2014","84168",12.463722,48.527357,1
"145","AHAM","2016","84168",12.463722,48.527357,2
"146","AHAUSEN","2009","27367",9.313313,53.062929,2
"147","AHAUSEN","2011","27367",9.313313,53.062929,2
"148","AHAUSEN","2013","27367",9.313313,53.062929,3
"149","AHAUSEN","2014","27367",9.313313,53.062929,2
"150","AHAUSEN","2016","27367",9.313313,53.062929,1
"151","AHLERSTEDT","2009","21702",9.451981,53.405314,3
"152","AHLERSTEDT","2010","21702",9.451981,53.405314,3
"153","AHLERSTEDT","2011","21702",9.451981,53.405314,3
"154","AHLERSTEDT","2012","21702",9.451981,53.405314,3
"155","AHLERSTEDT","2013","21702",9.451981,53.405314,7
"156","AHLERSTEDT","2014","21702",9.451981,53.405314,8
"157","AHLERSTEDT","2015","21702",9.451981,53.405314,5
"158","AHLERSTEDT","2016","21702",9.451981,53.405314,8
"159","AHLSDORF","2009","06313",11.469898,51.543838,1
"160","AHLSDORF","2011","06313",11.469898,51.543838,1
"161","AHLSDORF","2016","06313",11.469898,51.543838,1
"162","AHNSBECK","2009","29353",10.2848,52.611286,2
"163","AHNSBECK","2010","29353",10.2848,52.611286,1
"164","AHNSBECK","2011","29353",10.2848,52.611286,1
"165","AHNSBECK","2012","29353",10.2848,52.611286,1
"166","AHNSBECK","2013","29353",10.2848,52.611286,1
"167","AHNSBECK","2014","29353",10.2848,52.611286,1
"168","AHNSBECK","2015","29353",10.2848,52.611286,1
"169","AHNSBECK","2016","29353",10.2848,52.611286,1
"170","AHOLFING","2009","94345",12.470108,48.942029,1
"171","AHOLFING","2010","94345",12.470108,48.942029,1
"172","AHOLFING","2011","94345",12.470108,48.942029,1
"173","AHOLFING","2012","94345",12.470108,48.942029,1
"174","AHOLFING","2013","94345",12.470108,48.942029,1
"175","AHOLFING","2015","94345",12.470108,48.942029,1
"176","AHOLFING","2016","94345",12.470108,48.942029,2
"177","AHORN","2009","74744",9.540368,49.501528,3
"178","AHORN","2011","74744",9.540368,49.501528,2
"179","AHORN","2014","74744",9.540368,49.501528,2
"180","AHORN","2015","74744",9.540368,49.501528,3
"181","AHORN","2016","74744",9.540368,49.501528,1
"182","AHORN1","2009","96482",10.952243,50.236693,3
"183","AHORN1","2010","96482",10.952243,50.236693,2
"184","AHORN1","2011","96482",10.952243,50.236693,4
"185","AHORN1","2012","96482",10.952243,50.236693,2
"186","AHORN1","2013","96482",10.952243,50.236693,3
"187","AHORN1","2015","96482",10.952243,50.236693,3
"188","AHORN1","2016","96482",10.952243,50.236693,3
"189","AHORNTAL","2009","95491",11.401762,49.833646,3
"190","AHORNTAL","2011","95491",11.401762,49.833646,1
"191","AHORNTAL","2013","95491",11.401762,49.833646,3
"192","AHORNTAL","2015","95491",11.401762,49.833646,3
"193","AHORNTAL","2016","95491",11.401762,49.833646,1
"194","AHRBRUECK","2009","53506",6.98451,50.483845,1
"195","AHRBRUECK","2010","53506",6.98451,50.483845,1
"196","AHRBRUECK","2011","53506",6.98451,50.483845,1
"197","AHRBRUECK","2012","53506",6.98451,50.483845,2
"198","AHRBRUECK","2013","53506",6.98451,50.483845,1
"199","AHRBRUECK","2015","53506",6.98451,50.483845,1
"200","AHRBRUECK","2016","53506",6.98451,50.483845,1
"201","AHRENSHAGEN DASKOW","2009","18320",12.600892,54.223811,1
"202","AHRENSHAGEN DASKOW","2010","18320",12.600892,54.223811,1
"203","AHRENSHAGEN DASKOW","2011","18320",12.600892,54.223811,2
"204","AHRENSHAGEN DASKOW","2012","18320",12.600892,54.223811,2
"205","AHRENSHAGEN DASKOW","2013","18320",12.600892,54.223811,2
"206","AHRENSHAGEN DASKOW","2016","18320",12.600892,54.223811,2
"207","AICHA VORM WALD","2010","94529",13.291981,48.674871,1
"208","AICHA VORM WALD","2011","94529",13.291981,48.674871,3
"209","AICHA VORM WALD","2013","94529",13.291981,48.674871,1
"210","AICHA VORM WALD","2014","94529",13.291981,48.674871,1
"211","AICHA VORM WALD","2015","94529",13.291981,48.674871,2
"212","AICHA VORM WALD","2016","94529",13.291981,48.674871,2
"213","AICHEN","2009","86479",10.53914,48.227088,3
"214","AICHEN","2010","86479",10.53914,48.227088,1
"215","AICHEN","2011","86479",10.53914,48.227088,1
"216","AICHEN","2012","86479",10.53914,48.227088,1
